,Date,Open,Close,High,Low,Volume,S&P500,PeRatio,PsRatio,PbRatio,EnterpriseValueRevenueRatio,EnterpriseValueEDITDARatio,BasicEPS
186,2014-01-30,17.947857,17.849285,18.089287,17.739286,678501600,1794.19,14.114,3.058,4.053,8.285,24.336,0.521
187,2014-01-31,17.684999,17.878571,17.911785,17.626785,464797200,1782.59,14.114,3.058,4.053,8.285,24.336,0.521
188,2014-02-03,17.950357,17.911785,18.133215,17.832144,401464000,1741.89,14.114,3.058,4.053,8.285,24.336,0.521
189,2014-02-04,18.066071,18.17107,18.195,17.955713,376681200,1755.2,14.114,3.058,4.053,8.285,24.336,0.521
190,2014-02-05,18.091429,18.306786,18.402857,18.080357,328344800,1751.64,14.114,3.058,4.053,8.285,24.336,0.521
191,2014-02-06,18.216429,18.303928,18.339287,18.13607,257765200,1773.43,14.114,3.058,4.053,8.285,24.336,0.521
192,2014-02-07,18.620714,18.559999,18.676071,18.477858,370280400,1797.02,14.114,3.058,4.053,8.285,24.336,0.521
193,2014-02-10,18.523571,18.8925,18.999643,18.5,345559200,1799.84,14.114,3.058,4.053,8.285,24.336,0.521
194,2014-02-11,18.950357,19.14143,19.205357,18.910713,282256800,1819.75,14.114,3.058,4.053,8.285,24.336,0.521
195,2014-02-12,19.176786,19.139999,19.27,19.044287,308100800,1819.26,14.114,3.058,4.053,8.285,24.336,0.521
196,2014-02-13,19.094999,19.44393,19.458929,19.078571,307398000,1829.83,14.114,3.058,4.053,8.285,24.336,0.521
197,2014-02-14,19.373928,19.428213,19.499287,19.32893,272924400,1838.63,14.114,3.058,4.053,8.285,24.336,0.521
198,2014-02-18,19.5,19.499643,19.685356,19.486071,260251600,1840.76,14.114,3.058,4.053,8.285,24.336,0.521
199,2014-02-19,19.455357,19.191786,19.531786,19.083929,313768000,1828.75,14.114,3.058,4.053,8.285,24.336,0.521
200,2014-02-20,19.035357,18.969643,19.178572,18.892857,305858000,1839.78,14.114,3.058,4.053,8.285,24.336,0.521
201,2014-02-21,19.028214,18.758928,19.091785,18.735714,278784800,1836.25,14.114,3.058,4.053,8.285,24.336,0.521
202,2014-02-24,18.683929,18.84107,18.925714,18.657858,288909600,1847.61,14.114,3.058,4.053,8.285,24.336,0.521
203,2014-02-25,18.906429,18.645,18.913214,18.607143,231952000,1845.12,14.114,3.058,4.053,8.285,24.336,0.521
204,2014-02-26,18.700357,18.476786,18.75,18.414286,276217200,1845.16,14.114,3.058,4.053,8.285,24.336,0.521
205,2014-02-27,18.469286,18.845358,18.885,18.430357,301882000,1854.29,14.114,3.058,4.053,8.285,24.336,0.521
206,2014-02-28,18.895714,18.794287,19.026787,18.647142,371968800,1859.45,14.114,3.058,4.053,8.285,24.336,0.521
207,2014-03-03,18.693571,18.848572,18.951786,18.671785,238781200,1845.73,14.114,3.058,4.053,8.285,24.336,0.521
208,2014-03-04,18.964287,18.972857,19.022858,18.848928,259140000,1873.91,14.114,3.058,4.053,8.285,24.336,0.521
209,2014-03-05,18.96143,19.012857,19.098213,18.897499,200062800,1873.81,14.114,3.058,4.053,8.285,24.336,0.521
210,2014-03-06,19.028214,18.955357,19.087143,18.860714,185488800,1877.03,14.114,3.058,4.053,8.285,24.336,0.521
211,2014-03-07,18.967501,18.944286,18.999287,18.7875,220729600,1878.04,14.114,3.058,4.053,8.285,24.336,0.521
212,2014-03-10,18.870001,18.96143,19.047501,18.869286,178584000,1877.17,14.114,3.058,4.053,8.285,24.336,0.521
213,2014-03-11,19.123215,19.14607,19.240713,19.02107,279224400,1867.63,14.114,3.058,4.053,8.285,24.336,0.521
214,2014-03-12,19.089643,19.164642,19.191071,19.0,199326400,1868.2,14.114,3.058,4.053,8.285,24.336,0.521
215,2014-03-13,19.194286,18.951786,19.273571,18.898571,257742800,1846.34,14.114,3.058,4.053,8.285,24.336,0.521
216,2014-03-14,18.885357,18.73893,18.960358,18.678572,237199200,1841.13,14.114,3.058,4.053,8.285,24.336,0.521
217,2014-03-17,18.84643,18.812143,18.9275,18.780357,199544800,1858.83,14.114,3.058,4.053,8.285,24.336,0.521
218,2014-03-18,18.782143,18.978571,18.998928,18.757143,209647200,1872.25,14.114,3.058,4.053,8.285,24.336,0.521
219,2014-03-19,19.009287,18.973572,19.151428,18.892857,224756000,1860.77,14.114,3.058,4.053,8.285,24.336,0.521
